2016-03-28 13:12:31,169 [Worker-33] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: BankServiceClient_MVC:BankServiceClient_MVC:0.0.1 @ E:\RestWS\BankServiceClient_MVC\pom.xml.
2016-03-28 13:12:53,916 [Worker-35] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-28 13:12:53,931 [Worker-35] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\RestWS\BankServiceClient_MVC\src\main\resources
2016-03-28 13:12:53,947 [Worker-35] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-28 13:12:53,962 [Worker-35] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\RestWS\BankServiceClient_MVC\src\test\resources
2016-03-28 13:12:54,212 [Worker-33] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /BankServiceClient_MVC/src
2016-03-28 13:12:54,212 [Worker-33] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /BankServiceClient_MVC/src/test/java because it overlaps with /BankServiceClient_MVC/src
2016-03-28 13:13:03,666 [Worker-33] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2016-03-28 13:13:04,887 [Worker-33] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: BankServiceClient_MVC:BankServiceClient_MVC:0.0.1 @ E:\RestWS\BankServiceClient_MVC\pom.xml.
2016-03-28 13:13:07,866 [Worker-33] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /BankServiceClient_MVC/src
2016-03-28 13:13:07,866 [Worker-33] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /BankServiceClient_MVC/src/test/java because it overlaps with /BankServiceClient_MVC/src
2016-03-28 13:13:14,559 [Worker-35] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: BankServiceClient_MVC:BankServiceClient_MVC:0.0.1 @ E:\RestWS\BankServiceClient_MVC\pom.xml.
2016-03-28 13:13:14,964 [Worker-35] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-28 13:13:14,996 [Worker-35] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\RestWS\BankServiceClient_MVC\src\main\resources
